Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,nor_GR,nor_ILD_log10,nor_DeltaPHI,nor_PHIND,nor_PE,nor_NMM_M,nor_RELPOS,miss
1,A1 SH,CROSS H CATTLE,2573.5,118.439,0.674493717,6.3,9.95,3.631,1,1.0,1.765907456046677,0.059080226150913066,0.35976568410439724,-0.45584297222374986,-0.10492466726622096,-1.0375820818501909,1.6682915340111963,0
1,A1 SH,CROSS H CATTLE,2574.0,92.55,0.645225712,9.9,13.05,3.45,1,0.987,0.9114533872812632,-0.05675330523831406,1.0423192326290214,-0.02118143239422329,-0.30693054166404216,-1.0375820818501909,1.6229336769331677,0
1,A1 SH,CROSS H CATTLE,2574.5,102.168,0.630020851,12.0,14.5,3.364,1,0.974,1.2288908793970559,-0.1169293488023468,1.4404754692683854,0.18212799752603895,-0.40291123336687484,-1.0375820818501909,1.5775758198551393,0
1,A1 SH,CROSS H CATTLE,2575.0,88.898,0.60031933,15.1,16.05,3.187,1,0.961,0.7909208731196002,-0.23447859976978666,2.028229913831256,0.3994587674408023,-0.6004528895459601,-1.0375820818501909,1.5322179627771106,0
1,A1 SH,CROSS H CATTLE,2575.5,85.493,0.57863921,13.6,15.9,3.099,1,0.947,0.6785404758796051,-0.32028167587771467,1.7438326019459962,0.3784267574490509,-0.6986656903581603,-1.0375820818501909,1.483371039770003,0
1,A1 SH,CROSS H CATTLE,2576.0,82.802,0.569958818,13.0,14.9,3.069,1,0.934,0.5897253073119617,-0.3546359292408252,1.6300736771918922,0.2382133575040424,-0.7321473269986835,-1.0375820818501909,1.4380131826919749,0
1,A1 SH,CROSS H CATTLE,2576.5,84.257,0.576456532,12.7,14.35,3.077,1,0.921,0.6377468867493165,-0.3289200268902134,1.5731942148148401,0.16109598753428764,-0.7232188905612107,-1.0375820818501909,1.3926553256139464,0
1,A1 SH,CROSS H CATTLE,2577.0,85.349,0.592731766,12.8,14.7,3.101,1,0.908,0.6737878247187951,-0.2645077846343435,1.592154035607191,0.21017067751504057,-0.6964335812487923,-1.0375820818501909,1.3472974685359178,0
1,A1 SH,CROSS H CATTLE,2577.5,84.317,0.610660163,13.5,15.15,3.078,1,0.895,0.6397271580663204,-0.19355284470393053,1.7248727811536455,0.2732667074902945,-0.7221028360065267,-1.0375820818501909,1.3019396114578894,0
1,A1 SH,CROSS H CATTLE,2578.0,83.495,0.623766,13.4,15.1,3.062,1,0.882,0.6125974410233616,-0.14168407600850377,1.705912960361295,0.266256037493044,-0.7399597088814722,-1.0375820818501909,1.2565817543798607,0
1,A1 SH,CROSS H CATTLE,2578.5,83.696,0.630427875,12.7,14.75,3.074,1,0.868,0.6192313499353258,-0.11531847620340609,1.5731942148148401,0.2171813475122911,-0.7265670542252631,-1.0375820818501909,1.2077348313727532,0
1,A1 SH,CROSS H CATTLE,2579.0,82.766,0.631342286,12.6,14.4,3.114,1,0.855,0.5885371445217591,-0.11169952591037605,1.5542343940224894,0.16810665753153814,-0.6819248720378992,-1.0375820818501909,1.1623769742947245,0
1,A1 SH,CROSS H CATTLE,2579.5,85.311,0.629817196,12.3,13.95,3.133,1,0.842,0.6725336528846924,-0.11773535105070922,1.4973549316454375,0.10501062755628417,-0.6607198354989011,-1.0375820818501909,1.1170191172166961,0
1,A1 SH,CROSS H CATTLE,2580.0,87.297,0.627365857,12.1,13.65,3.136,1,0.829,0.738080633477535,-0.12743697755385247,1.4594352900607361,0.06294660757278177,-0.6573716718348488,-1.0375820818501909,1.0716612601386675,0
1,A1 SH,CROSS H CATTLE,2580.5,85.494,0.622317661,11.6,13.3,3.173,1,0.816,0.6785734804015553,-0.14741614490143826,1.3646361860989829,0.013871917592028838,-0.6160776533115372,-1.0375820818501909,1.026303403060639,0
1,A1 SH,CROSS H CATTLE,2581.0,82.907,0.613841822,11.3,13.05,3.179,1,0.803,0.5931907821167189,-0.18096084201545493,1.307756723721931,-0.02118143239422329,-0.6093813259834329,-1.0375820818501909,0.9809455459826109,0
1,A1 SH,CROSS H CATTLE,2581.5,84.398,0.602819342,10.3,12.75,3.121,1,0.789,0.6424005243442763,-0.22458434088622295,1.1181585157984242,-0.06324545237772594,-0.6741124901551103,-1.0375820818501909,0.9320986229755032,0
1,A1 SH,CROSS H CATTLE,2582.0,81.723,0.592176757,9.2,12.6,3.077,1,0.776,0.5541134281278338,-0.26670433518238384,0.9096004870825666,-0.08427746236947727,-0.7232188905612107,-1.0375820818501909,0.8867407658974746,0
1,A1 SH,CROSS H CATTLE,2582.5,83.501,0.583538819,8.0,12.3,3.058,1,0.763,0.612795468155062,-0.30089056900533134,0.6820826375743587,-0.12634148235297968,-0.7444239271002087,-1.0375820818501909,0.8413829088194461,0
1,A1 SH,CROSS H CATTLE,2583.0,88.667,0.575072326,7.6,12.3,3.067,1,0.75,0.7832968285491339,-0.334398277599483,0.6062433544049559,-0.12634148235297968,-0.7343794361080515,-1.0375820818501909,0.7960250517414176,0
1,A1 SH,CROSS H CATTLE,2583.5,93.129,0.562887381,8.0,12.8,3.105,1,0.737,0.9305630054903552,-0.38262244624826874,0.6820826375743587,-0.05623478238047542,-0.691969363030056,-1.0375820818501909,0.750667194663389,0
1,A1 SH,CROSS H CATTLE,2584.0,90.255,0.542202782,8.8,13.4,3.127,1,0.724,0.8357080094058479,-0.4644855642687853,0.8337612039131642,0.02789325758652964,-0.667416162827006,-1.0375820818501909,0.7053093375853605,0
1,A1 SH,CROSS H CATTLE,2584.5,87.152,0.510276844,9.6,13.8,3.154,1,0.711,0.7332949777947747,-0.5908383560444299,0.9854397702519694,0.08397861756453309,-0.6372826898505353,-1.0375820818501909,0.659951480507332,0
0,A1 SH,CROSS H CATTLE,2585.0,76.105,0.469085299,9.5,13.55,3.211,1,0.697,0.3686940238123295,-0.7538614975509401,0.9664799494596187,0.048925267578280966,-0.5736675802335418,-1.0375820818501909,0.6111045575002244,0
0,A1 SH,CROSS H CATTLE,2585.5,68.911,0.419460073,9.0,12.9,3.281,1,0.684,0.13125949290351155,-0.9502624881059331,0.8716808454978654,-0.04221344238597462,-0.49554376140565465,-1.0375820818501909,0.5657467004221962,0
0,A1 SH,CROSS H CATTLE,2586.0,60.968,0.366982976,9.1,12.25,3.251,1,0.671,-0.13089542494591022,-1.1579502844748693,0.890640666290216,-0.1333521523502302,-0.5290253980461779,-1.0375820818501909,0.5203888433441677,0
0,A1 SH,CROSS H CATTLE,2586.5,58.121,0.314709693,9.6,11.8,3.167,1,0.658,-0.22485929893776524,-1.364831449323599,0.9854397702519694,-0.19644818232548394,-0.6227739806396421,-1.0375820818501909,0.4750309862661392,0
0,A1 SH,CROSS H CATTLE,2587.0,58.57,0.260548373,9.2,12.3,3.159,1,0.645,-0.21004026858218297,-1.5791848690494041,0.9096004870825666,-0.12634148235297968,-0.6317024170771148,-1.0375820818501909,0.4296731291881107,0
0,A1 SH,CROSS H CATTLE,2587.5,57.287,0.211921084,8.4,13.0,3.119,1,0.632,-0.2523850702441254,-1.7716363397510975,0.7579219207437614,-0.028192102391473815,-0.6763445992644783,-1.0375820818501909,0.38431527211008215,0
0,A1 SH,CROSS H CATTLE,2588.0,60.771,0.172310969,7.5,14.25,3.022,1,0.618,-0.1373973157700745,-1.9284006801693594,0.5872835336126053,0.14707464753978683,-0.7846018910688362,-1.0375820818501909,0.3354683491029745,0
0,A1 SH,CROSS H CATTLE,2588.5,64.147,0.1430148,6.7,15.75,2.928,1,0.605,-0.025974049666631294,-2.0443456757864364,0.4356049672738,0.3573947474572996,-0.8895110192091412,-1.0375820818501909,0.290110492024946,0
0,A1 SH,CROSS H CATTLE,2589.0,61.211,0.123524981,5.5,16.95,2.892,1,0.592,-0.1228753261120429,-2.121480231452491,0.2080871177655919,0.5256508273913097,-0.9296889831777687,-1.0375820818501909,0.24475263494691743,0
0,A1 SH,CROSS H CATTLE,2589.5,63.105,0.111262514,4.2,17.8,2.892,1,0.579,-0.06036476153860659,-2.170011207723469,-0.03839055253496678,0.6448322173445672,-0.9296889831777687,-1.0375820818501909,0.1993947778688889,0
0,A1 SH,CROSS H CATTLE,2590.0,54.482,0.099335278,3.6,17.2,2.895,1,0.553,-0.3449627543140773,-2.217215445442873,-0.15214947728907083,0.5607041773775618,-0.9263408195137163,-1.0375820818501909,0.10867906371283223,0
0,A1 SH,CROSS H CATTLE,2590.5,57.7,0.095866453,4.4,16.6,2.886,1,0.539,-0.2387542026787455,-2.230943960574712,-0.000470910950265403,0.47657613741055704,-0.936385310505873,-1.0375820818501909,0.05983214070572459,0
0,A1 SH,CROSS H CATTLE,2591.0,62.74,0.091666958,5.0,16.7,2.881,1,0.526,-0.0724114120503827,-2.2475642370814777,0.11328801380383856,0.4905974774050576,-0.9419655832792939,-1.0375820818501909,0.01447428362769606,0
0,A1 SH,CROSS H CATTLE,2591.5,61.915,0.084218687,4.9,17.35,2.838,1,0.513,-0.09964014265919219,-2.2770421441911,0.09432819301148795,0.5817361873693134,-0.9899559291307098,-1.0375820818501909,-0.03088357345033247,0
0,A1 SH,CROSS H CATTLE,2592.0,60.425,0.071882007,4.4,18.6,2.754,1,0.5,-0.14881688036479954,-2.3258668321060725,-0.000470910950265403,0.7570029373005741,-1.0837045117241741,-1.0375820818501909,-0.07624143052836099,0
0,A1 SH,CROSS H CATTLE,2592.5,58.017,0.055760465,3.8,19.6,2.686,1,0.487,-0.22829176922057268,-2.389670809907079,-0.11422983570436952,0.8972163372455826,-1.1595962214426927,-1.0375820818501909,-0.12159928760638952,0
0,A1 SH,CROSS H CATTLE,2593.0,55.815,0.03702788,4.0,20.1,2.617,1,0.474,-0.3009677265546314,-2.463808472265646,-0.07631019411966815,0.9673230372180869,-1.2366039857158955,-1.0375820818501909,-0.16695714468441805,0
0,A1 SH,CROSS H CATTLE,2593.5,58.413,-0.004364805,2.3,20.25,2.574,1,0.434,-0.21522197852834438,-2.6276276624438593,-0.3986271475896296,0.9883550472098379,-1.2845943315673118,-1.0375820818501909,-0.30651978184758255,0
0,A1 SH,CROSS H CATTLE,2594.0,60.306,-0.011441043,2.2,19.9,2.571,1,0.421,-0.15274441847685807,-2.6556331802948585,-0.4175869683819802,0.9392803572290848,-1.2879424952313636,-1.0375820818501909,-0.3518776389256111,0
0,A1 SH,CROSS H CATTLE,2594.5,60.198,-0.015922966,2.3,19.95,2.556,1,0.408,-0.15630890684746576,-2.6733712177355584,-0.3986271475896296,0.9462910272263353,-1.3046833135516254,-1.0375820818501909,-0.3972354960036396,0
0,A1 SH,CROSS H CATTLE,2595.0,56.657,-0.019088062,2.8,20.1,2.552,1,0.395,-0.2731779190726708,-2.6858976692947243,-0.30382804362787624,0.9673230372180869,-1.3091475317703616,-1.0375820818501909,-0.442593353081668,0
0,A1 SH,CROSS H CATTLE,2595.5,59.459,-0.022733788,2.9,20.25,2.514,1,0.382,-0.18069924856856887,-2.7003263027822997,-0.28486822283552554,0.9883550472098379,-1.3515576048483577,-1.0375820818501909,-0.4879512101596965,0
0,A1 SH,CROSS H CATTLE,2596.0,59.586,-0.025949097,3.1,20.45,2.508,1,0.368,-0.17650767428090988,-2.7130514815561027,-0.24694858125082417,1.0163977271988396,-1.358253932176462,-1.0375820818501909,-0.5367981331668041,0
0,A1 SH,CROSS H CATTLE,2596.5,58.077,-0.025949097,3.3,20.65,2.516,1,0.355,-0.22631149790356853,-2.7130514815561027,-0.20902893966612288,1.044440407187841,-1.3493254957389893,-1.0375820818501909,-0.5821559902448327,0
0,A1 SH,CROSS H CATTLE,2597.0,59.244,-0.019088062,3.4,20.5,2.581,1,0.342,-0.18779522078783445,-2.6858976692947243,-0.1900691188737722,1.0234083971960901,-1.276781949684523,-1.0375820818501909,-0.627513847322861,0
0,A1 SH,CROSS H CATTLE,2597.5,60.552,-0.002613616,3.3,20.45,2.589,1,0.329,-0.1446253060771403,-2.620697008782977,-0.20902893966612288,1.0163977271988396,-1.26785351324705,-1.0375820818501909,-0.6728717044008895,0
